,SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,SVD_21,SVD_22,SVD_23,SVD_24,SVD_25
UK42A,235.8025129172509,48.222826237819184,383.48533140254034,562.8217926744195,2505.8902843267642,-1618.5865534341194,1394.0417725983193,-1189.3941613330446,-438.6253989077573,-419.7360671539485,-188.22716290908292,183.93207575940875,76.48299977926825,91.63610494415002,29.80186051054856,33.5056737705252,-504.9997476592855,803.5726241649603,-28.502777657418573,85.58894288485644,290.89905874015244,-133.52411913894957,-497.7025299187317,255.03769511134578,-597.5747051003214
UK43A,215.97614799144543,41.984976144238516,311.6167619175415,379.7787159602304,1927.9500166332318,-1161.7426856630823,1073.0762064413043,-797.4727440255049,-341.4581689877923,-252.66504850900102,-272.68254479168803,224.45739266765383,-40.53448863747568,56.8538343824604,-190.17560596698004,102.91743235606867,-334.03425944777075,312.35106637693656,-25.32702266765528,38.573518536816294,217.20299583859483,-143.50883608585005,-301.4179690163631,193.79141883059856,-532.8756006231548
UK44A,233.4782221433591,36.352873592442954,337.9648922046701,364.21670581911474,1966.2189501222383,-1169.0253825408736,1101.4335766757313,-801.0409925948782,-435.015678311591,-251.36110093925865,-308.9359727785698,236.2991193815309,-100.57313929760392,49.766665308120636,-284.31294714246377,153.5624474364495,-283.41838571181285,228.14603066631585,-41.94608257960111,52.533627191563156,190.73685390241997,-149.9444892154335,-255.1964659292629,147.57907864952142,-405.3804449251278
UK45A,206.82178868578012,49.95492821429182,399.47768059695045,493.0210768298148,2433.0189512012885,-1558.0882290617024,1390.0673229499898,-1229.4298754625029,-611.5411994707563,-434.05337064514,-216.23739724255682,321.9464503184471,-58.93138146404704,-18.55195100113321,-356.5784402773291,222.41376580297754,-396.00527365984794,508.0602148152303,-99.34944776283383,173.60799588052603,313.14771850584185,-91.55178696738919,-254.56663777485733,-22.072537204611628,-485.07458442943084
UK46A,238.7981476867021,41.45142157726199,369.4022475255632,396.6732711619922,2099.1006889196065,-1239.731151627742,1176.7725525309475,-862.1439808524846,-438.66288860745306,-234.56910387392386,-313.5490992051717,270.214597865665,-77.03102603947444,71.16182555959013,-300.7771712054365,181.3791008073849,-239.41552655045317,317.4650865637409,-5.514138129128711,-25.362939088474228,153.19947065440186,-162.51982799615186,-263.46596882203966,230.21888170278683,-220.7397158413798
UK47A,224.25897178486397,34.45698149953884,342.0494133587864,323.8742926020297,1867.6823000457289,-1099.8028475193319,1071.3878923065688,-703.2323079999201,-447.55736629791204,-135.4626148744385,-371.14510885367633,290.78701890411173,-135.4105324200444,89.414998247962,-478.31354831840287,279.089483340402,-149.4485875028598,120.5118527833025,-5.453961266304088,-62.10076030203574,154.30851944924183,-181.24002428301557,-188.25442546447835,230.26708981336748,-245.6022353782902
UK48A,208.9660570030646,39.45209284165294,304.47289419045296,252.54125375656065,1610.3458775689862,-894.5547059859483,921.4570745609998,-502.9490848181362,-353.16539058719735,-36.890916904843166,-470.3413809034282,303.202303090265,-173.95178171296845,96.5178634783506,-583.5674088122325,317.4823209805297,-59.11952642924936,-82.03956148793517,43.47849429858654,-150.92463830581409,57.29498440140484,-170.33675291497826,-104.09565735169248,277.8361606197452,-179.33637580718394
UK49A,178.8250800963675,41.41265887675743,295.95446420144174,327.4527511843203,1757.526678080566,-1123.5773448282323,1034.213353456566,-749.9977096537723,-426.54725288871197,-219.7824026635045,-369.57111486262323,332.66751940203136,-100.82007859933748,66.11984109222799,-551.0882392987153,350.4551378200228,-345.169198515622,115.85015618123333,-26.257101474662516,-27.73965483176651,271.80472403076516,-174.66485558670942,-231.80698891286127,247.66172346395982,-521.2673006236338
UK50A,167.746928741415,47.76601228758288,300.0531639813974,351.5740763245326,1857.8626913866306,-1040.4067493073078,1012.8435435158682,-900.6057686231204,-527.7602635385291,-286.67026141723875,-204.02910872005378,299.4811850991154,-141.71880765928765,-38.00358135989221,-410.1342832325191,246.98816494914485,-277.20341907953485,101.76623091726903,-97.82299293357599,171.21752189753897,198.03322377570603,-31.025936290898606,-85.38347205453451,-44.0507650307545,-382.26767836229027
UK51A,211.5708036988946,35.45666067830958,327.66336420759916,390.41139126869615,2022.0888259401481,-1283.2962417836982,1172.2687446249765,-898.37641357329,-495.28483419907684,-295.77891197371713,-314.43550501838206,290.1348076922512,-76.74091259605918,61.92225099609552,-404.43344899914905,262.7459505738234,-364.7669174045837,284.3790379689874,-39.386037965615444,25.287502733115673,256.7510021236285,-152.52258070382547,-283.3530726005391,213.1763326843057,-445.4773048925919
